name,first,last,initials,pos,tags
robert mitchum,rbrt,mtchm,rm,PN,famous
gregory peck,grgr,pck,gp,PN,famous
simone signoret,smn,sgnrt,ss,PN,famous
elizabeth taylor,lzbth,tlr,et,PN,famous
esther williams,sthr,wlms,ew,PN,famous
jeanne crain,jn,crn,jc,PN,famous
nina foch,n,fch,nf,PN,famous
eileen heckart,ln,hckrt,eh,PN,famous
kim hunter,km,hntr,kh,PN,famous
richard jaeckel,rchrd,jckl,rj,PN,famous
katy jurado,kt,jrd,kj,PN,famous
dorothy malone,drth,mln,dm,PN,famous
dorothy mcguire,drth,mcgr,dm,PN,famous
sidney poitier,sdn,ptr,sp,PN,famous
cliff robertson,clf,rbrtsn,cr,PN,famous
jane russell,jn,rsl,jr,PN,famous
shelley winters,shl,wntrs,sw,PN,famous
natalie wood,ntl,wd,nw,PN,famous
marlon brando,mrln,brnd,mb,PN,famous
richard burton,rchrd,brtn,rb,PN,famous
gloria grahame,glr,grhm,gg,PN,famous
angela lansbury,ngl,lnsbr,al,PN,famous
walter matthau,wltr,mth,wm,PN,famous
dan o'herlihy,dn,'hrlh,do,PN,famous
jean simmons,jn,smns,js,PN,famous
julie andrews,jl,ndrws,ja,PN,famous
jeff chandler,jf,chndlr,jc,PN,famous
vincent gardenia,vncnt,grdn,vg,PN,famous
burt lancaster,brt,lncstr,bl,PN,famous
melina mercouri,mln,mrcr,mm,PN,famous
marilyn monroe,mrln,mnr,mm,PN,famous
roger moore,rgr,mr,rm,PN,famous
patricia neal,ptrc,nl,pn,PN,famous
dean stockwell,dn,stckwl,ds,PN,famous
eva marie saint,v,snt,check,PN,famous
maureen stapleton,mrn,stpltn,ms,PN,famous
michael york,mchl,rk,my,PN,famous
anouk aimée,nk,mé,aa,PN,famous
martin balsam,mrtn,blsm,mb,PN,famous
david carradine,dvd,crdn,dc,PN,famous
george chakiris,grg,chkrs,gc,PN,famous
rock hudson,rck,hdsn,rh,PN,famous
janet leigh,jnt,lgh,jl,PN,famous
jack palance,jck,plnc,jp,PN,famous
denver pyle,dnvr,pl,dp,PN,famous
thelma ritter,thlm,rtr,tr,PN,famous
harold russell,hrld,rsl,hr,PN,famous
jan sterling,jn,strlng,js,PN,famous
tony curtis,tn,crts,tc,PN,famous
julie harris,jl,hrs,jh,PN,famous
rosemary harris,rsmr,hrs,rh,PN,famous
laurence harvey,lrnc,hrv,lh,PN,famous
audrey hepburn,dr,hpbrn,ah,PN,famous
jerry lewis,jr,lws,jl,PN,famous
audie murphy,d,mrph,am,PN,famous
paul newman,pl,nwmn,pn,PN,famous
